Files already downloaded and verified
Files already downloaded and verified
train_dataset =  40000
valid_dataset =  10000
test_dataset =  10000
training start ...
Epoch [77/500], Loss: 0.0017, val_loss: 0.0196, val_acc: 0.5572
Epoch [78/500], Loss: 0.0018, val_loss: 0.0192, val_acc: 0.5516
Epoch [79/500], Loss: 0.0018, val_loss: 0.0189, val_acc: 0.5630
Epoch [80/500], Loss: 0.0017, val_loss: 0.0194, val_acc: 0.5545
Epoch [81/500], Loss: 0.0017, val_loss: 0.0192, val_acc: 0.5618
Epoch [82/500], Loss: 0.0017, val_loss: 0.0190, val_acc: 0.5701
Epoch [83/500], Loss: 0.0018, val_loss: 0.0199, val_acc: 0.5487
Epoch [84/500], Loss: 0.0017, val_loss: 0.0197, val_acc: 0.5617
Epoch [85/500], Loss: 0.0017, val_loss: 0.0193, val_acc: 0.5654
Epoch [86/500], Loss: 0.0017, val_loss: 0.0193, val_acc: 0.5611
Epoch [87/500], Loss: 0.0016, val_loss: 0.0199, val_acc: 0.5617
Epoch [88/500], Loss: 0.0018, val_loss: 0.0195, val_acc: 0.5575
Epoch [89/500], Loss: 0.0017, val_loss: 0.0195, val_acc: 0.5595
Epoch [90/500], Loss: 0.0017, val_loss: 0.0200, val_acc: 0.5500
Epoch [91/500], Loss: 0.0016, val_loss: 0.0194, val_acc: 0.5594
Epoch [92/500], Loss: 0.0016, val_loss: 0.0191, val_acc: 0.5666
Epoch [93/500], Loss: 0.0015, val_loss: 0.0201, val_acc: 0.5525
Epoch [94/500], Loss: 0.0017, val_loss: 0.0195, val_acc: 0.5566
Epoch [95/500], Loss: 0.0016, val_loss: 0.0193, val_acc: 0.5673
Epoch [96/500], Loss: 0.0016, val_loss: 0.0201, val_acc: 0.5485
Epoch [97/500], Loss: 0.0016, val_loss: 0.0198, val_acc: 0.5548
Epoch [98/500], Loss: 0.0017, val_loss: 0.0199, val_acc: 0.5666
Epoch [99/500], Loss: 0.0017, val_loss: 0.0198, val_acc: 0.5543
Epoch [100/500], Loss: 0.0016, val_loss: 0.0193, val_acc: 0.5613
Epoch [101/500], Loss: 0.0016, val_loss: 0.0195, val_acc: 0.5608
Epoch [102/500], Loss: 0.0016, val_loss: 0.0196, val_acc: 0.5634
Epoch [103/500], Loss: 0.0015, val_loss: 0.0196, val_acc: 0.5637
Epoch [104/500], Loss: 0.0015, val_loss: 0.0192, val_acc: 0.5636
Epoch [105/500], Loss: 0.0015, val_loss: 0.0195, val_acc: 0.5537
Epoch [106/500], Loss: 0.0016, val_loss: 0.0195, val_acc: 0.5603
Epoch [107/500], Loss: 0.0015, val_loss: 0.0195, val_acc: 0.5570
Epoch [108/500], Loss: 0.0015, val_loss: 0.0199, val_acc: 0.5575
Epoch [109/500], Loss: 0.0016, val_loss: 0.0194, val_acc: 0.5587
Epoch [110/500], Loss: 0.0015, val_loss: 0.0195, val_acc: 0.5658
